date,time,p_open,p_high,p_low,p_close,volumn,oi
20170818,09:00:00,22995,23130,22900,23090,5798,3218
20170818,09:01:00,23100,23260,23090,23205,3480,4256
20170818,09:02:00,23205,23330,23205,23295,3590,5270
20170818,09:03:00,23290,23295,23170,23220,3056,5720
20170818,09:04:00,23220,23250,23160,23210,2490,6296
20170818,09:05:00,23210,23245,23180,23215,1584,6576
20170818,09:06:00,23220,23240,23195,23215,714,6714
20170818,09:07:00,23220,23225,23175,23200,1228,6892
20170818,09:08:00,23195,23235,23190,23220,992,7130
20170818,09:09:00,23220,23220,23165,23195,1384,7136
20170818,09:10:00,23200,23200,23130,23185,1510,7174
20170818,09:11:00,23185,23185,23145,23180,912,7432
20170818,09:12:00,23180,23210,23170,23195,1150,7552
20170818,09:13:00,23195,23215,23170,23190,914,7834
20170818,09:14:00,23185,23235,23185,23235,1382,7984
20170818,09:15:00,23230,23230,23200,23200,580,7986
20170818,09:16:00,23205,23215,23195,23200,276,8010
20170818,09:17:00,23200,23220,23200,23215,344,8106
20170818,09:18:00,23215,23230,23210,23215,336,8252
20170818,09:19:00,23220,23220,23180,23200,650,8322
20170818,09:20:00,23195,23200,23190,23190,228,8322
20170818,09:21:00,23195,23210,23195,23210,312,8420
20170818,09:22:00,23215,23215,23200,23205,156,8488
20170818,09:23:00,23205,23210,23195,23210,182,8452
20170818,09:24:00,23210,23210,23195,23200,120,8408
20170818,09:25:00,23200,23205,23195,23195,140,8442
20170818,09:26:00,23195,23200,23185,23185,202,8524
20170818,09:27:00,23190,23200,23190,23190,140,8548
20170818,09:28:00,23190,23200,23190,23195,214,8474
20170818,09:29:00,23195,23195,23180,23185,196,8526
20170818,09:30:00,23185,23185,23100,23125,2090,8280
20170818,09:31:00,23125,23125,22970,23020,3794,7970
20170818,09:32:00,23025,23040,22975,23015,3232,8432
20170818,09:33:00,23020,23045,23020,23040,1112,8514
20170818,09:34:00,23040,23040,22990,22990,1106,8774
20170818,09:35:00,22990,23055,22960,23035,2104,8614
20170818,09:36:00,23040,23060,23030,23050,754,8614
20170818,09:37:00,23045,23075,23035,23060,794,8722
20170818,09:38:00,23060,23120,23055,23120,1482,8654
20170818,09:39:00,23125,23125,23090,23095,618,8630
20170818,09:40:00,23095,23110,23080,23095,504,8682
20170818,09:41:00,23095,23105,23080,23090,366,8790
20170818,09:42:00,23095,23105,23095,23100,290,8756
20170818,09:43:00,23100,23100,23085,23085,234,8820
20170818,09:44:00,23085,23105,23085,23100,252,8798
20170818,09:45:00,23105,23150,23100,23125,612,8696
20170818,09:46:00,23125,23125,23100,23105,386,8822
20170818,09:47:00,23100,23105,23090,23095,174,8786
20170818,09:48:00,23100,23110,23095,23105,152,8782
20170818,09:49:00,23115,23145,23105,23115,308,8614
20170818,09:50:00,23115,23120,23105,23120,264,8602
20170818,09:51:00,23120,23120,23100,23100,98,8600
20170818,09:52:00,23105,23105,23095,23105,122,8618
20170818,09:53:00,23105,23105,23100,23100,68,8600
20170818,09:54:00,23100,23105,23090,23090,150,8690
20170818,09:55:00,23090,23115,23090,23115,246,8644
20170818,09:56:00,23110,23115,23105,23110,122,8702
20170818,09:57:00,23110,23120,23110,23110,190,8806
20170818,09:58:00,23110,23110,23090,23090,172,8792
20170818,09:59:00,23090,23105,23090,23095,236,8874
20170818,10:00:00,23095,23100,23095,23100,70,8910
20170818,10:01:00,23100,23100,23050,23080,616,8924
20170818,10:02:00,23080,23095,23080,23090,94,8980
20170818,10:03:00,23085,23110,23080,23105,344,8958
20170818,10:04:00,23105,23110,23095,23095,198,8902
20170818,10:05:00,23105,23105,23095,23105,112,8976
20170818,10:06:00,23105,23110,23105,23110,54,8980
20170818,10:07:00,23110,23110,23105,23110,60,9000
20170818,10:08:00,23115,23115,23105,23110,58,9016
20170818,10:09:00,23115,23120,23100,23100,300,9058
20170818,10:10:00,23100,23105,23100,23105,36,9046
20170818,10:11:00,23100,23110,23100,23105,196,9118
20170818,10:12:00,23105,23105,23090,23100,190,9064
20170818,10:13:00,23100,23105,23100,23100,82,9074
20170818,10:14:00,23105,23105,23090,23090,64,9070
20170818,10:30:00,23090,23095,23080,23085,114,9104
20170818,10:31:00,23085,23100,23085,23100,156,9156
20170818,10:32:00,23100,23105,23095,23100,106,9192
20170818,10:33:00,23100,23105,23100,23105,74,9222
20170818,10:34:00,23110,23115,23095,23095,114,9270
20170818,10:35:00,23100,23100,23095,23100,82,9306
20170818,10:36:00,23100,23100,23095,23100,76,9264
20170818,10:37:00,23100,23100,23095,23095,50,9248
20170818,10:38:00,23095,23095,23065,23075,304,9254
20170818,10:39:00,23075,23095,23075,23095,74,9256
20170818,10:40:00,23095,23100,23090,23100,44,9240
