date,time,p_open,p_high,p_low,p_close,volumn
20180426,09:25:00,0.0894,0.0894,0.0894,0.0894,5
20180426,09:30:00,0.0894,0.0894,0.0601,0.0889,21
20180426,09:31:00,0.0889,0.0889,0.0835,0.0835,24
20180426,09:32:00,0.087,0.0879,0.087,0.0874,16
20180426,09:33:00,0.0874,0.0875,0.0874,0.0875,6
20180426,09:34:00,0.0875,0.0875,0.0874,0.0874,1
20180426,09:35:00,0.0874,0.0878,0.0874,0.0874,40
20180426,09:36:00,0.0878,0.0883,0.0878,0.088,38
20180426,09:37:00,0.088,0.0893,0.088,0.0893,40
20180426,09:38:00,0.0893,0.09,0.088,0.0897,62
20180426,09:39:00,0.0897,0.0899,0.0882,0.0885,33
20180426,09:40:00,0.0884,0.0898,0.0884,0.0898,45
20180426,09:41:00,0.0897,0.0898,0.089,0.0897,59
20180426,09:42:00,0.0897,0.091,0.0891,0.091,71
20180426,09:43:00,0.091,0.091,0.09,0.09,7
20180426,09:44:00,0.09,0.0913,0.0898,0.091,32
20180426,09:45:00,0.091,0.0915,0.09,0.0902,27
20180426,09:46:00,0.0902,0.0906,0.09,0.09,11
20180426,09:47:00,0.09,0.091,0.09,0.091,45
20180426,09:48:00,0.091,0.0912,0.0909,0.0912,43
20180426,09:49:00,0.0912,0.093,0.0912,0.093,46
20180426,09:50:00,0.093,0.0942,0.0925,0.094,49
20180426,09:51:00,0.094,0.094,0.0935,0.094,36
20180426,09:52:00,0.094,0.0944,0.094,0.0944,21
20180426,09:53:00,0.0944,0.0945,0.0938,0.0938,30
20180426,09:54:00,0.0938,0.0938,0.0934,0.0936,5
20180426,09:55:00,0.0936,0.0942,0.0936,0.094,27
20180426,09:56:00,0.094,0.094,0.0939,0.0939,10
20180426,09:57:00,0.0939,0.0942,0.0939,0.0942,28
20180426,09:59:00,0.0942,0.0946,0.0941,0.0946,70
20180426,10:00:00,0.0946,0.0946,0.0945,0.0946,42
20180426,10:01:00,0.0946,0.0948,0.0936,0.0936,43
20180426,10:02:00,0.0936,0.0938,0.0936,0.0938,2
20180426,10:04:00,0.0938,0.0949,0.0938,0.0949,3
20180426,10:05:00,0.0949,0.095,0.0949,0.095,1
20180426,10:07:00,0.095,0.095,0.0943,0.0943,2
20180426,10:08:00,0.0943,0.095,0.0943,0.095,6
20180426,10:09:00,0.095,0.095,0.095,0.095,1
20180426,10:13:00,0.095,0.095,0.095,0.095,2
20180426,10:15:00,0.095,0.0958,0.095,0.0958,7
20180426,10:16:00,0.0958,0.096,0.0955,0.0955,2
20180426,10:17:00,0.0955,0.0955,0.095,0.0951,6
20180426,10:18:00,0.0951,0.096,0.0951,0.096,1
20180426,10:19:00,0.096,0.0961,0.096,0.0961,1
20180426,10:22:00,0.0961,0.0966,0.0961,0.0966,1
20180426,10:23:00,0.0966,0.0966,0.096,0.096,2
20180426,10:26:00,0.0965,0.0965,0.0961,0.0961,3
20180426,10:27:00,0.0961,0.0964,0.0961,0.0964,3
20180426,10:28:00,0.0964,0.0964,0.0964,0.0964,4
20180426,10:29:00,0.0964,0.0966,0.096,0.0964,19
20180426,10:30:00,0.0964,0.0974,0.0962,0.0974,75
20180426,10:31:00,0.0974,0.0974,0.0974,0.0974,16
20180426,10:32:00,0.0974,0.098,0.0974,0.098,4
20180426,10:33:00,0.098,0.099,0.098,0.099,1
20180426,10:34:00,0.099,0.099,0.099,0.099,1
20180426,10:36:00,0.099,0.0994,0.099,0.0994,5
20180426,10:37:00,0.0994,0.1,0.0994,0.1,15
20180426,10:40:00,0.1008,0.1008,0.1008,0.1008,2
20180426,10:42:00,0.1008,0.1008,0.0995,0.0995,3
20180426,10:43:00,0.0995,0.1001,0.0995,0.1001,1
20180426,10:44:00,0.1001,0.1001,0.0995,0.1,2
