date,time,p_open,p_high,p_low,p_close,volumn,oi
20180817,09:15:00,99.4,99.405,99.235,99.27,678,367
20180817,09:16:00,99.265,99.29,99.26,99.28,286,520
20180817,09:17:00,99.29,99.33,99.275,99.32,161,607
20180817,09:18:00,99.32,99.355,99.315,99.355,244,746
20180817,09:19:00,99.36,99.36,99.325,99.33,36,750
20180817,09:20:00,99.33,99.33,99.31,99.32,38,780
20180817,09:21:00,99.325,99.335,99.32,99.335,38,804
20180817,09:22:00,99.335,99.335,99.32,99.325,56,840
20180817,09:23:00,99.32,99.33,99.32,99.32,38,870
20180817,09:24:00,99.32,99.33,99.32,99.33,21,888
20180817,09:25:00,99.33,99.35,99.33,99.34,240,1025
20180817,09:26:00,99.34,99.34,99.325,99.325,51,1064
20180817,09:27:00,99.325,99.34,99.325,99.34,48,1075
20180817,09:28:00,99.335,99.34,99.335,99.335,8,1078
20180817,09:29:00,99.33,99.34,99.33,99.34,33,1109
20180817,09:30:00,99.34,99.385,99.34,99.375,171,1230
20180817,09:31:00,99.37,99.38,99.365,99.375,108,1324
20180817,09:32:00,99.37,99.375,99.365,99.365,87,1374
20180817,09:33:00,99.365,99.365,99.355,99.355,16,1366
20180817,09:34:00,99.35,99.35,99.34,99.345,62,1369
20180817,09:35:00,99.345,99.36,99.34,99.36,37,1367
20180817,09:36:00,99.36,99.365,99.355,99.355,25,1381
20180817,09:37:00,99.35,99.35,99.345,99.345,12,1382
20180817,09:38:00,99.35,99.355,99.35,99.35,7,1383
20180817,09:39:00,99.35,99.35,99.335,99.335,44,1385
20180817,09:40:00,99.335,99.335,99.325,99.33,24,1400
20180817,09:41:00,99.33,99.34,99.33,99.34,19,1404
20180817,09:42:00,99.34,99.34,99.325,99.325,16,1403
20180817,09:43:00,99.325,99.325,99.305,99.305,96,1414
20180817,09:44:00,99.305,99.31,99.28,99.31,61,1416
20180817,09:45:00,99.31,99.31,99.29,99.31,104,1496
20180817,09:46:00,99.305,99.31,99.305,99.305,31,1507
20180817,09:47:00,99.305,99.305,99.295,99.305,19,1514
20180817,09:48:00,99.31,99.31,99.305,99.305,24,1533
20180817,09:49:00,99.305,99.305,99.29,99.295,38,1565
20180817,09:50:00,99.295,99.3,99.285,99.285,23,1582
20180817,09:51:00,99.285,99.295,99.285,99.29,51,1614
20180817,09:52:00,99.295,99.295,99.275,99.28,77,1637
20180817,09:53:00,99.275,99.285,99.2,99.275,173,1615
20180817,09:54:00,99.27,99.27,99.23,99.23,61,1602
20180817,09:55:00,99.23,99.23,99.215,99.22,152,1618
20180817,09:56:00,99.22,99.24,99.215,99.22,82,1642
20180817,09:57:00,99.22,99.23,99.22,99.23,24,1645
20180817,09:58:00,99.225,99.225,99.21,99.21,40,1668
20180817,09:59:00,99.21,99.265,99.21,99.26,141,1718
20180817,10:00:00,99.26,99.285,99.255,99.285,91,1711
20180817,10:01:00,99.285,99.285,99.275,99.28,70,1740
20180817,10:02:00,99.27,99.28,99.27,99.28,15,1745
20180817,10:03:00,99.275,99.275,99.27,99.27,7,1750
20180817,10:04:00,99.27,99.275,99.265,99.265,37,1757
20180817,10:05:00,99.26,99.26,99.24,99.25,57,1746
20180817,10:06:00,99.255,99.255,99.25,99.25,6,1744
20180817,10:07:00,99.255,99.26,99.255,99.26,25,1763
20180817,10:08:00,99.26,99.275,99.26,99.275,47,1769
20180817,10:09:00,99.275,99.28,99.275,99.28,39,1802
20180817,10:10:00,99.275,99.28,99.27,99.27,35,1831
20180817,10:11:00,99.27,99.27,99.27,99.27,9,1833
20180817,10:12:00,99.265,99.27,99.265,99.265,10,1837
20180817,10:13:00,99.265,99.27,99.265,99.27,3,1835
20180817,10:14:00,99.27,99.27,99.27,99.27,7,1841
20180817,10:15:00,99.265,99.265,99.26,99.26,13,1848
20180817,10:16:00,99.255,99.255,99.255,99.255,4,1849
20180817,10:17:00,99.255,99.26,99.255,99.26,10,1853
20180817,10:18:00,99.26,99.26,99.255,99.255,9,1861
20180817,10:19:00,99.26,99.27,99.26,99.27,47,1893
20180817,10:20:00,99.275,99.3,99.275,99.28,144,1991
20180817,10:21:00,99.28,99.29,99.28,99.285,39,2019
20180817,10:22:00,99.285,99.285,99.28,99.28,32,2049
20180817,10:23:00,99.28,99.29,99.28,99.29,31,2074
20180817,10:24:00,99.29,99.29,99.28,99.285,54,2122
20180817,10:25:00,99.285,99.29,99.285,99.29,41,2163
20180817,10:26:00,99.285,99.295,99.285,99.295,58,2201
20180817,10:27:00,99.29,99.29,99.29,99.29,19,2199
20180817,10:28:00,99.29,99.29,99.285,99.285,5,2203
20180817,10:29:00,99.29,99.295,99.29,99.295,5,2202
20180817,10:31:00,99.295,99.305,99.295,99.305,53,2244
20180817,10:32:00,99.305,99.315,99.305,99.31,42,2273
20180817,10:33:00,99.315,99.32,99.31,99.32,87,2354
20180817,10:34:00,99.32,99.33,99.315,99.32,68,2391
20180817,10:35:00,99.325,99.33,99.32,99.33,21,2401
